# Program:featureCounts v2.0.1; Command:"featureCounts" "-T" "20" "-t" "CDS" "-g" "locus" "-a" "/media/lu/lu202306/ref/PAO1forsRNA.gff" "-o" "counts.txt" "PA0806.1-1.sorted.bam" "PA0806.1-2.sorted.bam" "PA0982.1-1.sorted.bam" "PA0982.1-2.sorted.bam" "PA1014.1-1.sorted.bam" "PA1014.1-2.sorted.bam" "PA1270.1-1.sorted.bam" "PA1270.1-2.sorted.bam" "PA1367.1-1.sorted.bam" "PA1367.1-2.sorted.bam" "PA2734.1-1.sorted.bam" "PA2734.1-2.sorted.bam" "PA2736.2-1.sorted.bam" "PA2736.2-2.sorted.bam" "PA3471.1-1.sorted.bam" "PA3471.1-2.sorted.bam" "PA4639.1-1.sorted.bam" "PA4639.1-2.sorted.bam" "PA4640.1-1.sorted.bam" "PA4640.1-2.sorted.bam" "PA4642.1-1.sorted.bam" "PA4642.1-2.sorted.bam" "WTEV-1-1.sorted.bam" "WTEV-1-2.sorted.bam" 
Geneid	Chr	Start	End	Strand	Length	PA0806.1-1.sorted.bam	PA0806.1-2.sorted.bam	PA0982.1-1.sorted.bam	PA0982.1-2.sorted.bam	PA1014.1-1.sorted.bam	PA1014.1-2.sorted.bam	PA1270.1-1.sorted.bam	PA1270.1-2.sorted.bam	PA1367.1-1.sorted.bam	PA1367.1-2.sorted.bam	PA2734.1-1.sorted.bam	PA2734.1-2.sorted.bam	PA2736.2-1.sorted.bam	PA2736.2-2.sorted.bam	PA3471.1-1.sorted.bam	PA3471.1-2.sorted.bam	PA4639.1-1.sorted.bam	PA4639.1-2.sorted.bam	PA4640.1-1.sorted.bam	PA4640.1-2.sorted.bam	PA4642.1-1.sorted.bam	PA4642.1-2.sorted.bam	WTEV-1-1.sorted.bam	WTEV-1-2.sorted.bam
PA0055	chromosome	70130	70636	-	507	50	62	401	557	210	98	57	57	283	396	152	163	262	256	53	43	74	44	92	88	469	374	269	518
PA0056	chromosome	70702	71622	-	921	9	10	49	45	17	2	2	12	32	38	17	16	56	38	9	9	12	4	15	9	94	71	43	52
PA0057	chromosome	71730	72617	+	888	6	2	94	108	22	21	13	3	44	75	33	15	52	38	6	8	16	12	6	10	70	59	47	44
PA0058	chromosome	72680	73384	+	705	6	6	55	59	15	6	12	0	42	48	11	7	31	28	9	4	6	4	8	2	45	52	12	22
PA0059	chromosome	73468	73923	+	456	12	26	225	276	257	156	14	12	254	436	220	233	377	362	8	11	31	27	30	37	103	140	127	199
PA0060	chromosome	74034	74267	+	234	14	23	68	83	123	44	12	6	132	130	92	93	188	142	8	4	31	22	28	11	98	93	176	122
PA0061	chromosome	74279	74716	-	438	23	24	130	146	147	49	22	14	159	282	99	85	203	171	15	17	36	13	16	10	179	203	145	146
PA0062	chromosome	74773	75189	-	417	8	21	101	88	72	23	8	9	105	106	37	49	75	67	8	12	20	8	8	19	69	86	118	107
PA0063	chromosome	75281	76408	+	1128	75	62	258	269	116	39	67	67	135	172	84	97	163	139	66	46	76	73	97	58	454	475	287	263
PA0064	chromosome	76416	77399	-	984	91	24	458	509	118	37	62	47	125	133	73	70	132	113	39	41	87	56	50	57	606	530	212	271
PA0065	chromosome	77432	78097	-	666	83	36	317	454	58	30	48	43	74	122	62	35	112	114	41	34	75	58	69	72	443	441	169	210
PA0066	chromosome	78090	78632	-	543	24	30	222	298	44	23	23	13	71	97	67	48	120	83	40	8	37	29	19	24	351	371	139	148
PA0067	chromosome	78710	80755	+	2046	562	544	3867	4530	1079	481	462	430	1179	1713	809	730	1832	1468	485	413	758	482	615	546	6250	6849	2111	2282
PA0068	chromosome	80752	81027	+	276	59	32	456	397	87	36	61	40	128	170	68	90	140	129	30	36	89	64	75	49	560	619	214	172
PA0069	chromosome	81116	82174	+	1059	63	47	166	189	57	35	53	47	80	107	32	34	84	77	42	32	68	48	57	57	291	296	118	138
PA0070	chromosome	82404	83318	-	915	1237	907	10359	11080	1022	528	877	830	1512	2242	1269	1138	2025	1708	1025	797	1683	754	1113	1172	9209	9200	2782	3796
PA0071	chromosome	83380	85092	-	1713	269	175	1088	1293	317	147	195	173	350	499	203	219	478	351	187	147	291	201	201	198	1202	1356	711	1016
PA0072	chromosome	85085	86284	-	1200	48	63	181	174	30	8	38	52	45	60	23	51	79	58	50	30	63	61	38	49	258	304	93	105
PA0073	chromosome	86284	87003	-	720	42	32	280	274	48	18	42	34	49	65	53	44	55	68	30	33	47	34	45	54	274	365	114	92
PA0074	chromosome	87000	90098	-	3099	396	370	2135	2509	209	99	346	273	322	383	295	232	446	409	276	263	513	307	408	318	2185	2455	569	722
PA0075	chromosome	90106	90834	-	729	82	50	449	426	34	23	63	71	48	98	48	41	58	44	60	44	91	59	53	87	399	427	104	103
PA0076	chromosome	90844	91524	-	681	68	74	336	335	36	17	38	55	55	82	40	39	89	61	54	59	122	32	79	52	334	382	86	100
PA0077	chromosome	91521	94826	-	3306	328	237	2416	2624	220	80	241	232	248	363	230	182	330	245	279	205	421	229	298	277	2495	2504	568	689
PA0078	chromosome	95048	96397	-	1350	143	100	1094	1245	108	50	106	103	159	264	98	90	191	164	115	66	157	108	114	92	1187	1246	301	334
PA0079	chromosome	96404	97738	-	1335	169	165	931	1115	156	65	153	113	157	296	135	122	284	220	145	97	217	139	177	143	1112	1227	280	306
PA0080	chromosome	97754	98218	-	465	68	74	333	346	66	33	32	60	87	99	53	44	83	75	51	75	110	45	66	74	510	488	112	156
PA0081	chromosome	98263	99756	-	1494	192	173	845	1002	346	137	174	142	394	592	253	255	446	419	156	130	292	180	250	217	1201	1277	439	612
PA0082	chromosome	100124	101158	+	1035	122	67	466	430	168	68	98	87	243	285	128	106	184	180	98	64	148	122	122	87	802	770	367	380
PA0083	chromosome	101247	101765	+	519	166	126	2956	3245	271	74	120	95	266	373	176	161	288	250	139	120	197	135	93	74	2497	2365	733	748
PA0084	chromosome	101778	103274	+	1497	510	423	9878	9986	633	299	422	360	812	1060	606	617	1040	842	517	332	756	410	443	490	7951	7636	1613	2339
PA0085	chromosome	103350	103838	+	489	580	267	8412	8894	548	248	261	236	622	764	638	540	784	693	327	288	762	285	372	318	5537	5502	1309	1423
PA0086	chromosome	104006	104851	+	846	119	65	1007	1102	73	21	79	60	91	134	95	69	165	140	64	44	145	50	54	93	931	1059	257	231
PA0087	chromosome	104853	105362	+	510	31	22	270	294	8	11	42	28	18	27	10	18	35	28	44	40	48	31	41	26	273	308	70	93
PA0088	chromosome	105359	107218	+	1860	128	86	1138	1193	77	33	65	96	73	109	61	38	96	83	97	82	121	79	88	113	961	1097	216	227
PA0089	chromosome	107182	108228	+	1047	54	22	303	319	28	17	67	27	27	36	21	15	47	35	34	26	71	35	56	41	315	293	48	72
PA0090	chromosome	108221	110929	+	2709	356	248	5327	5674	261	114	323	237	382	462	370	272	519	390	287	196	471	282	316	361	3709	3861	829	908
PA0091	chromosome	110976	112907	+	1932	172	167	1881	1942	103	58	163	149	103	181	128	130	196	125	163	118	248	123	176	177	1357	1426	354	369
PA0092	chromosome	113022	113306	-	285	32	28	292	294	43	21	37	22	59	45	14	31	47	27	36	29	53	30	37	30	378	340	70	96
PA0093	chromosome	113303	114595	-	1293	99	63	453	474	44	41	59	66	71	91	50	59	96	52	62	51	80	56	47	48	598	593	179	228
PA0094	chromosome	114611	115045	-	435	72	39	147	209	57	21	37	52	60	77	29	42	67	50	50	46	95	49	77	59	317	308	172	249
PA0095	chromosome	115299	117524	+	2226	79	70	1024	1149	298	129	107	68	382	564	224	232	478	359	68	43	208	61	98	84	965	942	614	675
PA0096	chromosome	117552	118001	+	450	18	9	167	149	20	12	12	17	34	56	28	15	28	45	5	8	13	5	12	16	98	108	74	55
PA0097	chromosome	117931	119130	+	1200	51	19	387	427	51	14	21	14	70	109	58	50	84	70	28	20	76	9	18	18	251	218	164	142
PA0098	chromosome	119127	120164	+	1038	29	28	230	229	19	18	20	6	48	61	53	23	75	76	24	11	16	21	6	18	133	108	83	94
PA0099	chromosome	120164	121324	+	1161	67	14	527	598	88	35	44	26	95	122	59	66	83	82	29	28	78	42	38	26	372	340	122	261
PA0100	chromosome	121346	122266	+	921	115	56	1074	1051	154	84	39	48	197	270	164	157	355	314	46	21	133	21	67	44	504	458	569	381
PA0101	chromosome	122248	123495	+	1248	71	18	538	616	136	87	46	28	142	262	173	112	296	208	18	22	128	23	42	24	326	369	226	214
PA0102	chromosome	123871	124599	+	729	122	112	780	810	615	254	82	81	672	1133	455	392	743	599	100	89	126	92	117	106	1019	1008	373	521
PA0103	chromosome	124810	126381	+	1572	32	36	424	369	120	50	24	29	170	202	107	99	228	146	36	13	31	41	40	36	280	314	121	118
PA0104	chromosome	126518	127114	+	597	26	33	150	216	176	60	32	19	268	364	165	170	304	267	46	9	48	39	44	47	286	264	218	348
PA0105	chromosome	127378	128502	+	1125	23	5	1194	1368	139	65	20	9	153	192	128	142	304	240	8	18	34	6	20	14	163	126	243	260
PA0106	chromosome	128512	130104	+	1593	19	2	1188	1190	39	24	0	8	58	98	31	31	52	51	8	5	23	14	9	9	83	75	100	107
PA0107	chromosome	130115	130669	+	555	2	7	276	346	13	13	0	0	14	41	9	8	31	20	1	0	4	0	0	0	7	7	22	10
PA0108	chromosome	130680	131567	+	888	16	5	766	710	329	132	2	4	357	418	199	213	411	332	8	3	28	6	8	8	120	127	148	160
PA0109	chromosome	131583	131792	-	210	14	4	144	171	127	49	8	0	90	152	112	92	154	143	7	3	15	4	7	11	65	62	80	72
PA0110	chromosome	131808	132602	+	795	0	2	158	161	2	2	2	6	6	33	22	6	18	15	2	0	11	0	2	4	18	19	17	18
PA0111	chromosome	132577	133155	+	579	0	0	189	220	10	0	0	7	29	16	12	10	19	18	2	0	0	0	0	1	14	25	13	2
PA0112	chromosome	133220	134293	+	1074	4	0	165	185	24	20	5	7	35	25	12	12	29	31	0	4	14	2	4	7	31	31	38	17
PA0113	chromosome	134319	135233	+	915	4	9	303	333	39	26	12	8	70	65	33	23	55	50	12	4	10	16	10	17	86	60	44	50
PA0114	chromosome	135259	135894	+	636	111	53	603	667	719	276	63	61	711	978	505	432	896	758	85	52	131	96	84	101	603	479	709	1082
PA0115	chromosome	135934	136386	-	453	20	30	129	118	74	57	20	30	80	142	60	90	115	65	21	18	42	17	28	23	202	176	128	158
PA0116	chromosome	136518	136991	+	474	18	14	197	211	73	49	16	10	83	116	70	47	140	92	26	10	22	24	22	16	197	242	84	98
PA0117	chromosome	137248	137976	+	729	13	14	80	104	13	4	4	0	14	21	20	0	12	31	15	8	27	13	12	6	141	82	18	32
PA0118	chromosome	138001	138588	+	588	14	8	258	267	31	6	11	12	17	49	20	26	32	45	9	11	21	22	10	11	215	215	27	22
PA0119	chromosome	138818	140167	+	1350	38	58	117	124	40	18	20	31	42	65	26	19	38	32	31	25	47	63	51	48	261	277	60	99
PA0120	chromosome	140216	140902	+	687	27	14	195	196	75	29	9	16	114	92	37	32	81	40	9	11	31	10	19	18	186	177	61	61
PA0121	chromosome	141003	141737	+	735	14	16	227	183	52	20	18	8	56	75	39	14	82	74	15	12	17	8	12	21	141	209	46	51
PA0122	chromosome	141917	142327	+	411	190	8	4153	3913	6410	3104	25	15	6444	8869	4303	3958	8563	7031	32	28	286	27	39	40	763	761	4263	4340
PA0123	chromosome	142359	143267	-	909	29	10	532	631	555	256	16	15	663	889	545	451	1076	907	18	4	65	14	13	26	297	253	626	690
PA0124	chromosome	143567	143848	-	282	4	4	24	33	0	6	8	12	11	14	5	10	20	4	8	6	0	13	11	7	75	66	22	30
PA0125	chromosome	143845	144072	-	228	7	4	29	29	16	8	3	6	11	15	11	8	11	11	1	7	6	5	4	4	55	50	14	63
PA0126	chromosome	144248	144868	-	621	159	135	617	707	54	33	121	95	63	123	65	55	146	93	133	84	186	142	183	129	1114	1131	307	447
PA0127	chromosome	144969	145469	+	501	20	17	120	98	31	16	10	16	42	77	54	23	35	32	11	14	34	22	24	18	160	111	99	155
PA0128	chromosome	145542	145883	+	342	43	51	96	133	146	41	34	37	96	132	74	86	125	141	33	19	46	29	43	27	290	280	259	399
PA0129	chromosome	145965	147392	-	1428	79	42	3743	4254	625	326	38	57	448	778	529	428	1387	1129	48	26	68	46	43	52	2150	2111	741	962
PA0130	chromosome	147561	149054	-	1494	242	194	18445	19382	4291	1897	163	155	2902	4304	3054	2672	8328	7038	158	137	337	141	234	185	8308	8345	4241	5100
PA0131	chromosome	149138	149425	-	288	29	21	1661	1560	352	172	34	20	331	471	259	234	779	697	39	9	51	22	30	38	882	846	407	539
PA0132	chromosome	149425	150771	-	1347	237	92	12913	13559	4239	1846	130	62	3274	4959	2808	2584	7181	6087	89	80	233	61	91	104	6882	7136	4325	5111
PA0133	chromosome	150906	151823	+	918	22	22	180	176	54	28	10	17	42	68	24	23	71	47	9	18	35	13	35	18	185	221	121	100
PA0134	chromosome	151936	153306	-	1371	66	39	346	385	184	88	74	47	172	337	155	103	265	204	58	76	128	93	93	86	381	410	171	203
PA0135	chromosome	153696	153836	+	141	0	0	4	5	2	0	0	0	2	2	0	4	3	2	0	0	2	0	1	0	2	2	4	0
PA0136	chromosome	154417	155988	+	1572	5	4	24	15	35	13	10	2	43	38	13	20	30	41	2	0	6	2	4	0	22	29	24	26
PA0137	chromosome	155988	157085	+	1098	11	4	19	18	13	2	4	5	8	10	13	4	26	6	4	3	9	2	6	4	12	18	25	18
PA0138	chromosome	157108	158034	+	927	26	10	55	78	28	24	17	16	25	46	16	10	65	18	24	11	20	20	28	23	70	99	61	81
PA0139	chromosome	158199	158762	+	564	1481	1204	17798	19718	5272	2391	934	1041	5262	8016	3549	3281	7308	6298	1234	994	2138	1156	1707	1368	17912	16375	3065	5912
PA0140	chromosome	158907	160472	+	1566	578	526	2320	2472	598	272	367	392	705	952	511	430	917	780	371	317	613	435	520	484	2518	2458	555	720
PA0141	chromosome	160552	161448	-	897	2152	1605	4274	4108	3037	1354	1387	1090	3418	4874	2970	2641	6149	5187	1412	1012	2726	1409	2046	1694	4162	4057	3849	4055
PA0142	chromosome	161906	163255	+	1350	49	51	240	254	288	144	46	65	430	493	257	241	420	415	55	43	65	75	77	86	296	339	235	367
PA0143	chromosome	163363	164415	+	1053	115	77	1797	1937	1339	616	121	87	1586	2278	831	709	2001	1668	109	77	173	121	150	127	2016	2104	1228	1338
PA0144	chromosome	164443	165069	-	627	29	27	367	313	291	131	10	20	338	540	206	188	411	295	21	14	43	20	24	27	328	299	225	190
PA0145	chromosome	165219	165737	-	519	31	31	184	201	59	27	42	14	87	78	59	48	116	128	29	16	49	34	41	26	291	280	148	152
PA0146	chromosome	165976	167073	+	1098	10	3	26	24	10	10	5	2	18	38	18	4	30	37	6	4	19	4	4	14	28	34	20	14
PA0147	chromosome	167146	168108	+	963	20	12	173	148	49	28	14	15	56	75	54	33	83	41	16	19	32	12	16	11	192	158	85	72
PA0148	chromosome	168213	169163	+	951	73	67	367	350	171	88	68	61	195	333	136	126	311	263	94	24	97	49	77	106	499	511	267	426
PA0149	chromosome	169361	169906	+	546	22	14	31	12	5	3	2	2	12	47	2	21	29	18	10	2	15	4	11	13	57	63	16	27
PA0150	chromosome	169903	170898	+	996	9	16	31	30	29	12	21	12	31	32	6	11	40	24	7	11	32	15	6	6	83	86	70	36
PA0151	chromosome	171047	173434	+	2388	7	4	55	38	10	12	11	8	13	36	14	26	40	27	2	6	17	6	6	13	82	74	37	34
PA0152	chromosome	173811	174638	+	828	18	18	99	81	54	32	14	18	78	68	37	57	101	57	9	9	19	11	41	15	101	101	106	77
PA0153	chromosome	174773	175492	+	720	20	10	104	110	24	7	22	9	22	47	21	21	30	43	11	1	17	6	8	13	93	115	59	36
PA0154	chromosome	175503	176108	+	606	15	8	84	75	19	20	13	22	48	33	39	17	59	38	19	4	12	21	25	8	76	86	42	55
PA0155	chromosome	176315	177154	+	840	19	8	175	207	59	18	24	22	59	61	38	27	53	62	21	23	25	26	21	18	249	259	124	133
PA0156	chromosome	177307	178458	+	1152	42	32	323	365	341	133	27	20	376	575	245	211	495	391	19	24	76	26	39	35	375	322	317	370
PA0157	chromosome	178455	179525	+	1071	28	32	469	464	174	73	23	40	253	331	166	157	362	281	27	13	46	18	35	35	436	423	199	220
PA0158	chromosome	179522	182569	+	3048	120	74	1428	1689	604	285	103	63	664	921	411	469	849	638	78	67	127	82	98	62	1219	1211	619	685
PA0159	chromosome	182768	183706	+	939	50	71	310	356	160	69	37	52	168	261	106	94	190	157	43	54	66	38	61	78	314	318	182	230
PA0160	chromosome	183822	184007	+	186	15	14	52	91	18	22	10	13	39	28	9	24	44	36	2	9	21	2	12	12	87	73	87	98
PA0161	chromosome	184287	184439	+	153	3	21	8	16	10	2	16	18	6	8	7	4	9	9	11	17	29	18	22	24	31	27	19	45
PA0162	chromosome	184594	185928	+	1335	224	217	752	814	76	20	216	191	70	83	38	38	98	60	212	163	317	241	343	317	1120	1150	148	279
PA0163	chromosome	185957	186754	-	798	34	26	101	119	39	32	29	15	71	133	42	33	95	66	25	20	33	38	26	21	157	192	113	94
PA0164	chromosome	186832	188448	+	1617	170	139	141	168	137	80	139	168	157	227	114	94	205	187	182	113	234	152	186	218	261	258	201	178
PA0165	chromosome	189120	189956	+	837	148	148	100	123	69	25	141	130	50	71	32	32	41	47	141	92	252	141	199	180	542	545	153	240
PA0166	chromosome	190198	191604	+	1407	6	10	32	37	16	12	5	4	41	49	24	23	38	31	14	0	17	13	9	9	40	44	43	48
PA0167	chromosome	191697	192362	+	666	46	66	256	249	129	87	36	29	189	276	70	96	158	124	44	42	73	58	73	64	455	404	163	272
PA0168	chromosome	192368	192958	+	591	22	10	235	257	63	14	12	14	65	155	60	40	80	51	33	11	25	16	4	8	232	291	133	140
PA0169	chromosome	192965	193672	-	708	14	32	332	369	30	14	14	11	27	39	14	35	40	38	4	7	27	15	22	20	304	382	121	125
PA0170	chromosome	193799	194179	-	381	10	4	184	164	16	10	4	4	32	42	16	10	16	18	4	0	18	7	2	8	191	177	51	85
PA0171	chromosome	194206	194748	-	543	22	7	233	180	22	10	8	7	22	25	9	14	19	20	13	7	10	12	4	5	194	219	49	99
PA0172	chromosome	194757	196748	-	1992	28	8	164	140	30	20	21	30	36	59	22	21	79	39	15	19	43	28	21	37	218	259	147	207
PA0173	chromosome	197011	198060	-	1050	11	6	258	284	250	108	1	0	321	493	260	201	470	405	2	2	9	2	6	8	57	49	118	146
